dx,dy,count,probability
0,0,32,1.0
1,9,4,0.125
1,11,4,0.125
1,13,4,0.125
1,15,4,0.125
1,24,4,0.125
1,26,4,0.125
1,28,4,0.125
1,30,4,0.125
2,17,4,0.125
2,19,4,0.125
2,21,4,0.125
2,23,4,0.125
2,25,4,0.125
2,27,4,0.125
2,29,4,0.125
2,31,4,0.125
3,1,4,0.125
3,5,4,0.125
3,9,4,0.125
3,13,4,0.125
3,16,4,0.125
3,20,4,0.125
3,24,4,0.125
3,28,4,0.125
4,6,8,0.25
4,14,8,0.25
4,22,8,0.25
4,30,8,0.25
5,17,4,0.125
5,19,4,0.125
5,20,4,0.125
5,22,4,0.125
5,24,4,0.125
5,26,4,0.125
5,29,4,0.125
5,31,4,0.125
6,1,2,0.0625
6,3,2,0.0625
6,5,2,0.0625
6,7,2,0.0625
6,9,2,0.0625
6,11,2,0.0625
6,13,2,0.0625
6,15,2,0.0625
6,17,2,0.0625
6,19,2,0.0625
6,21,2,0.0625
6,23,2,0.0625
6,25,2,0.0625
6,27,2,0.0625
6,29,2,0.0625
6,31,2,0.0625
7,2,4,0.125
7,3,4,0.125
7,6,4,0.125
7,7,4,0.125
7,10,4,0.125
7,11,4,0.125
7,14,4,0.125
7,15,4,0.125
8,6,4,0.125
8,7,4,0.125
8,14,4,0.125
8,15,4,0.125
8,22,4,0.125
8,23,4,0.125
8,30,4,0.125
8,31,4,0.125
9,1,2,0.0625
9,3,2,0.0625
9,4,2,0.0625
9,6,2,0.0625
9,8,2,0.0625
9,10,2,0.0625
9,13,2,0.0625
9,15,2,0.0625
9,16,2,0.0625
9,18,2,0.0625
9,21,2,0.0625
9,23,2,0.0625
9,25,2,0.0625
9,27,2,0.0625
9,28,2,0.0625
9,30,2,0.0625
10,1,2,0.0625
10,2,2,0.0625
10,4,2,0.0625
10,7,2,0.0625
10,9,2,0.0625
10,10,2,0.0625
10,12,2,0.0625
10,15,2,0.0625
10,17,2,0.0625
10,18,2,0.0625
10,20,2,0.0625
10,23,2,0.0625
10,25,2,0.0625
10,26,2,0.0625
10,28,2,0.0625
10,31,2,0.0625
11,2,2,0.0625
11,3,2,0.0625
11,6,2,0.0625
11,7,2,0.0625
11,10,2,0.0625
11,11,2,0.0625
11,14,2,0.0625
11,15,2,0.0625
11,18,2,0.0625
11,19,2,0.0625
11,22,2,0.0625
11,23,2,0.0625
11,26,2,0.0625
11,27,2,0.0625
11,30,2,0.0625
11,31,2,0.0625
12,1,8,0.25
12,8,8,0.25
12,16,8,0.25
12,25,8,0.25
13,1,2,0.0625
13,3,2,0.0625
13,5,2,0.0625
13,7,2,0.0625
13,8,2,0.0625
13,10,2,0.0625
13,12,2,0.0625
13,14,2,0.0625
13,16,2,0.0625
13,18,2,0.0625
13,20,2,0.0625
13,22,2,0.0625
13,25,2,0.0625
13,27,2,0.0625
13,29,2,0.0625
13,31,2,0.0625
14,1,4,0.125
14,2,4,0.125
14,4,4,0.125
14,7,4,0.125
14,17,4,0.125
14,18,4,0.125
14,20,4,0.125
14,23,4,0.125
15,8,4,0.125
15,9,4,0.125
15,12,4,0.125
15,13,4,0.125
15,24,4,0.125
15,25,4,0.125
15,28,4,0.125
15,29,4,0.125
16,9,8,0.25
16,11,8,0.25
16,24,8,0.25
16,26,8,0.25
17,17,8,0.25
17,19,8,0.25
17,21,8,0.25
17,23,8,0.25
18,1,2,0.0625
18,3,2,0.0625
18,5,2,0.0625
18,7,2,0.0625
18,9,2,0.0625
18,11,2,0.0625
18,13,2,0.0625
18,15,2,0.0625
18,16,2,0.0625
18,18,2,0.0625
18,20,2,0.0625
18,22,2,0.0625
18,24,2,0.0625
18,26,2,0.0625
18,28,2,0.0625
18,30,2,0.0625
19,2,8,0.25
19,4,8,0.25
19,10,8,0.25
19,12,8,0.25
20,4,4,0.125
20,5,4,0.125
20,6,4,0.125
20,7,4,0.125
20,12,4,0.125
20,13,4,0.125
20,14,4,0.125
20,15,4,0.125
21,5,4,0.125
21,7,4,0.125
21,9,4,0.125
21,11,4,0.125
21,17,4,0.125
21,19,4,0.125
21,29,4,0.125
21,31,4,0.125
22,16,2,0.0625
22,17,2,0.0625
22,18,2,0.0625
22,19,2,0.0625
22,20,2,0.0625
22,21,2,0.0625
22,22,2,0.0625
22,23,2,0.0625
22,24,2,0.0625
22,25,2,0.0625
22,26,2,0.0625
22,27,2,0.0625
22,28,2,0.0625
22,29,2,0.0625
22,30,2,0.0625
22,31,2,0.0625
23,2,4,0.125
23,4,4,0.125
23,10,4,0.125
23,12,4,0.125
23,18,4,0.125
23,20,4,0.125
23,26,4,0.125
23,28,4,0.125
24,4,2,0.0625
24,5,2,0.0625
24,6,2,0.0625
24,7,2,0.0625
24,12,2,0.0625
24,13,2,0.0625
24,14,2,0.0625
24,15,2,0.0625
24,20,2,0.0625
24,21,2,0.0625
24,22,2,0.0625
24,23,2,0.0625
24,28,2,0.0625
24,29,2,0.0625
24,30,2,0.0625
24,31,2,0.0625
25,3,4,0.125
25,6,4,0.125
25,8,4,0.125
25,13,4,0.125
25,16,4,0.125
25,21,4,0.125
25,27,4,0.125
25,30,4,0.125
26,1,2,0.0625
26,2,2,0.0625
26,5,2,0.0625
26,6,2,0.0625
26,8,2,0.0625
26,11,2,0.0625
26,12,2,0.0625
26,15,2,0.0625
26,17,2,0.0625
26,18,2,0.0625
26,21,2,0.0625
26,22,2,0.0625
26,24,2,0.0625
26,27,2,0.0625
26,28,2,0.0625
26,31,2,0.0625
27,2,2,0.0625
27,3,2,0.0625
27,4,2,0.0625
27,5,2,0.0625
27,10,2,0.0625
27,11,2,0.0625
27,12,2,0.0625
27,13,2,0.0625
27,18,2,0.0625
27,19,2,0.0625
27,20,2,0.0625
27,21,2,0.0625
